Date,Name,Year,Letterboxd URI,Rating
2026-05-17,BEEF,2023,https://boxd.it/FPsm,5
2026-05-22,The Devil Wears Prada,2006,https://boxd.it/2awE,4
2026-05-24,Woman in Stall,2018,https://boxd.it/lgju,3.5
2026-05-25,Exit 8,2025,https://boxd.it/S9Kk,4
2026-05-27,The Batman,2022,https://boxd.it/eDGs,4
2026-05-27,Deadpool & Wolverine,2024,https://boxd.it/jq8s,2.5
2026-05-28,The Substance,2024,https://boxd.it/zanS,5
2026-06-01,Over Your Dead Body,2026,https://boxd.it/RtwU,3.5
2026-06-01,Thunderbolts*,2025,https://boxd.it/BfbQ,4
2026-06-05,Barbarian,2022,https://boxd.it/yohi,4.5
2026-06-09,Perfect Blue,1997,https://boxd.it/1W7A,5
2026-06-11,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2026-06-12,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2026-06-14,Set It Up,2018,https://boxd.it/dpik,3.5
2026-06-17,Dumb Money,2023,https://boxd.it/tNdU,3
2026-06-19,Memento,2000,https://boxd.it/2bcK,4.5
2026-06-20,Fear Street: Prom Queen,2025,https://boxd.it/BQVc,0.5
2026-06-24,Hokum,2026,https://boxd.it/SUeq,4
2026-06-25,Michael,2026,https://boxd.it/zi5M,3.5
2026-06-27,Wind River,2017,https://boxd.it/dR3i,4
2026-06-30,Obsession,2025,https://boxd.it/PNqo,4.5
2026-07-09,Jobs,2013,https://boxd.it/3RcY,2
2026-07-12,Carolina Caroline,2025,https://boxd.it/OKiY,4
2026-07-13,Requiem for a Dream,2000,https://boxd.it/29VI,5
2026-07-19,Backrooms,2026,https://boxd.it/EY6W,4
2026-07-24,The Worst Person in the World,2021,https://boxd.it/oyws,4.5
2026-07-29,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,3.5
2026-07-29,Spider-Man: Brand New Day,2026,https://boxd.it/ACJE,4
2026-07-29,Spider-Man: Homecoming,2017,https://boxd.it/aboM,3.5
2026-07-29,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3
2026-08-06,Bones and All,2022,https://boxd.it/tLd4,5
2026-08-06,I Saw the Devil,2010,https://boxd.it/FaK,4
2026-08-13,The Invite,2026,https://boxd.it/zRNY,5
2026-08-14,Paprika,2006,https://boxd.it/23wW,4
2026-08-17,Leviticus,2026,https://boxd.it/YjUw,3.5
2026-08-20,Black Mirror: San Junipero,2016,https://boxd.it/k4aS,4.5
2026-08-25,Nirvanna the Band the Show the Movie,2025,https://boxd.it/HG9a,5
2026-08-26,Blue Heron,2025,https://boxd.it/IWJq,5
2026-08-29,Arrival,2016,https://boxd.it/aNGk,5
2026-09-01,Disclosure Day,2026,https://boxd.it/MDJY,3.5
2026-09-02,Her,2013,https://boxd.it/4O24,4.5
2026-09-05,Forbidden Fruits,2026,https://boxd.it/TI9g,3.5
