Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-07-26,Spider-Man: Homecoming,2017,https://boxd.it/fqEjJ9,3.5,Yes,,2026-07-25
2026-07-27,Spider-Man: Far From Home,2019,https://boxd.it/frX1TH,3,Yes,,2026-07-26
2026-07-29,Spider-Man: No Way Home,2021,https://boxd.it/fuBsgl,3.5,Yes,,2026-07-28
2026-07-29,Spider-Man: Brand New Day,2026,https://boxd.it/fvww2h,4,,,2026-07-29
2026-08-04,I Saw the Devil,2010,https://boxd.it/fCvrBd,4,,,2026-08-03
2026-08-06,Bones and All,2022,https://boxd.it/fEYH83,5,,,2026-08-05
2026-08-13,The Invite,2026,https://boxd.it/fO0k2B,5,,,2026-08-13
2026-08-14,Paprika,2006,https://boxd.it/fOb9m3,4,,,2026-08-13
2026-08-17,Leviticus,2026,https://boxd.it/fRvSuN,3.5,,,2026-08-16
2026-08-20,Black Mirror: San Junipero,2016,https://boxd.it/fUZklz,4.5,,,2026-08-19
2026-08-26,Blue Heron,2025,https://boxd.it/g1iXUF,5,,,2026-08-25
2026-08-29,Arrival,2016,https://boxd.it/g4Qd49,5,Yes,,2026-08-29
2026-09-01,Disclosure Day,2026,https://boxd.it/g7qLkZ,3.5,,,2026-08-31
2026-09-02,Her,2013,https://boxd.it/g8nhcf,4.5,,,2026-09-01
2026-09-05,Forbidden Fruits,2026,https://boxd.it/gaXeU9,3.5,,,2026-09-04
